# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Aug 18 04:34:30 2021
#
# CONSTRAINT:  where (ismostprecise = 1
# CONSTRAINT:  and transitduration < 8
# CONSTRAINT:  and transitdepthcalc > 0.4)
#
# COLUMN planetname:     Data Source Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN obsname:        Observatory Name
# COLUMN reflink:        Reference
# COLUMN algorithm:      Algorithm
# COLUMN isdefault:      Default Parameters Flag
# COLUMN ismostprecise:  Most-Precise Flag
# COLUMN phase:          Phase
# COLUMN period:         Period [days]
# COLUMN transitduration: Transit Duration [hours]
# COLUMN transitdepthdb: Transit Depth - Measured [percent]
# COLUMN transitdepthcalc: Transit Depth - Calculated [percent]
# COLUMN ttv:            TTV flag
# COLUMN midpointcalendar: Event Midpoint Calendar UT
# COLUMN propmidpointunc: Propagated Midpoint Uncertainty [days]
# COLUMN midpointairmass: Event Midpoint Airmass
# COLUMN targetobsstartcalendar: Target Observability Start Calendar UT
# COLUMN targetobsendcalendar: Target Observability End Calendar UT
# COLUMN fractionobservable: Event Fraction Observable
#
planetname,ra_str,ra,dec_str,dec,obsname,reflink,algorithm,isdefault,ismostprecise,phase,period,transitduration,transitdepthdb,transitdepthcalc,ttv,midpointcalendar,propmidpointunc,midpointairmass,targetobsstartcalendar,targetobsendcalendar,fractionobservable
HATS-41 b,06h54m04.17s,103.517356,-27d03m01.50s,-27.050416,,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Transit Ephemeris,1,1,0.000000,4.193649,2.196000,,0.638825,0,08/19/2021 14:39,0.009616,,,,
HATS-42 b,07h13m48.58s,108.452399,-33d26m14.45s,-33.437346,,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Transit Ephemeris,1,1,0.000000,2.292102,3.266400,,0.944938,0,08/19/2021 06:47,0.003143,,,,
HATS-43 b,05h22m09.18s,80.538242,-30d58m14.94s,-30.970818,,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,Transit Ephemeris,1,1,0.000000,4.388850,2.988500,,2.230092,0,08/22/2021 04:26,0.002687,,,,
HATS-44 b,05h37m18.42s,84.326756,-27d58m21.27s,-27.972576,,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,Transit Ephemeris,1,1,0.000000,2.743900,1.651200,,1.675841,0,08/20/2021 18:30,0.003544,,,,
HATS-45 b,06h47m58.62s,101.994246,-21d54m38.56s,-21.910711,,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,Transit Ephemeris,1,1,0.000000,4.187624,3.045600,,1.009953,0,08/22/2021 11:08,0.004364,,,,
HATS-46 b,00h26m48.63s,6.702640,-56d18m57.97s,-56.316102,,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,Transit Ephemeris,1,1,0.000000,4.742373,2.433600,,1.183446,0,08/22/2021 14:27,0.002741,,,,
HATS-47 b,19h09m56.26s,287.484402,-49d39m53.79s,-49.664942,,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,Transit Ephemeris,1,1,0.000000,3.922804,2.002300,,3.058018,0,08/21/2021 20:48,0.001458,,,,
HATS-48 A b,19h14m41.28s,288.672005,-59d34m45.66s,-59.579350,,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,Transit Ephemeris,1,1,0.000000,3.131667,2.345800,,1.321283,0,08/19/2021 16:03,0.003221,,,,
HATS-49 b,00h26m27.26s,6.613593,-56d20m39.41s,-56.344280,,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,Transit Ephemeris,1,1,0.000000,4.148047,2.346000,,1.269569,0,08/22/2021 07:28,0.002631,,,,
HATS-5 b,04h28m53.48s,67.222847,-21d28m55.40s,-21.482057,,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..144Z/abstract target=ref> Zhou et al. 2014 </a>,Transit Ephemeris,1,1,0.000000,4.763387,2.985600,,1.157775,0,08/19/2021 16:57,0.006760,,,,
HATS-50 b,20h01m42.74s,300.428076,-26d04m39.23s,-26.077564,,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,Transit Ephemeris,1,1,0.000000,3.829702,3.079200,,1.080741,0,08/21/2021 05:41,0.003776,,,,
HATS-51 b,06h51m23.38s,102.847425,-29d03m31.16s,-29.058655,,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,Transit Ephemeris,1,1,0.000000,3.348870,3.321600,,1.012475,0,08/19/2021 23:50,0.003380,,,,
HATS-52 b,09h20m21.02s,140.087589,-31d16m09.16s,-31.269212,,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,Transit Ephemeris,1,1,0.000000,1.366654,2.090400,,1.843417,0,08/18/2021 12:59,0.002060,,,,
HATS-53 b,11h46m30.80s,176.628323,-33d51m36.28s,-33.860076,,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,Transit Ephemeris,1,1,0.000000,3.853777,3.506400,,1.564249,0,08/22/2021 07:47,0.002671,,,,
HATS-54 b,13h22m32.37s,200.634864,-44d41m19.82s,-44.688839,,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,Transit Ephemeris,1,1,0.000000,2.544183,2.500800,,0.693152,0,08/19/2021 22:49,0.003707,,,,
HATS-55 b,07h37m08.01s,114.283382,-32d45m19.51s,-32.755419,,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,Transit Ephemeris,1,1,0.000000,4.204200,2.783800,,1.303493,0,08/21/2021 11:07,0.002107,,,,
HATS-56 b,12h00m39.62s,180.165072,-45d47m58.04s,-45.799456,,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,Transit Ephemeris,1,1,0.000000,4.324799,4.641600,,0.621120,0,08/22/2021 05:25,0.011568,,,,
HATS-57 b,04h03m47.59s,60.948278,-19d03m24.55s,-19.056818,,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,Transit Ephemeris,1,1,0.000000,2.350621,2.488600,,1.486537,0,08/18/2021 14:04,0.001172,,,,
HATS-58 A b,12h27m08.95s,186.787304,-48d58m42.28s,-48.978411,,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,Transit Ephemeris,1,1,0.000000,4.218090,3.180000,,0.616605,0,08/19/2021 07:15,0.005883,,,,
HATS-59 b,11h21m17.84s,170.324325,-22d23m17.44s,-22.388177,,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..216S/abstract target=ref>Sarkis et al. 2018</a>,Transit Ephemeris,1,1,0.000000,5.416081,3.592800,,1.247464,0,08/21/2021 08:38,0.008872,,,,
HATS-6 b,05h52m35.23s,88.146808,-19d01m53.86s,-19.031627,,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..166H/abstract target=ref>Hartman et al. 2015</a>,Transit Ephemeris,1,1,0.000000,3.325273,2.041000,3.230000,3.237295,0,08/20/2021 10:41,0.001854,,,,
HATS-60 b,22h45m27.37s,341.364034,-14d59m30.39s,-14.991775,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.560829,3.859200,,0.658603,0,08/20/2021 16:15,0.013714,,,,
HATS-61 b,04h06m37.87s,61.657801,-25d20m58.80s,-25.349667,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,7.817953,5.529600,,0.544628,0,08/21/2021 05:40,0.006848,,,,
HATS-62 b,20h49m47.83s,312.449308,-24d18m12.62s,-24.303506,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.276884,2.765300,,1.350245,0,08/18/2021 21:25,0.004093,,,,
HATS-63 b,04h29m40.46s,67.418582,-28d11m49.97s,-28.197215,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.056653,2.448000,,1.343748,0,08/18/2021 12:33,0.003752,,,,
HATS-64 b,09h37m09.03s,144.287609,-29d48m01.60s,-29.800444,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,4.908897,5.805600,,0.666766,0,08/22/2021 03:59,0.005266,,,,
HATS-65 b,19h31m45.55s,292.939782,-26d44m24.73s,-26.740202,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.105161,2.884800,,1.386404,0,08/19/2021 15:52,0.001402,,,,
HATS-66 b,06h45m34.75s,101.394805,-33d52m54.09s,-33.881692,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.141439,4.543200,,0.620322,0,08/20/2021 13:50,0.005744,,,,
HATS-67 b,12h00m50.11s,180.208788,-46d08m11.11s,-46.136420,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,1.609179,1.946400,,1.443919,0,08/19/2021 18:57,0.004530,,,,
HATS-68 b,01h00m01.46s,15.006077,-58d54m17.01s,-58.904724,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.586220,3.420000,,0.524577,0,08/20/2021 21:10,0.003770,,,,
HATS-69 b,19h17m11.38s,289.297428,-60d53m30.34s,-60.891760,,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit Ephemeris,1,1,0.000000,2.225258,2.357800,,1.221943,0,08/20/2021 02:09,0.001964,,,,
HATS-7 b,13h55m25.62s,208.856747,-21d12m28.29s,-21.207859,,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...813..111B/abstract target=ref>Bakos et al. 2015</a>,Transit Ephemeris,1,1,0.000000,3.185315,2.299200,,0.503933,0,08/19/2021 13:06,0.005526,,,,
HATS-70 b,07h16m25.09s,109.104521,-31d14m39.82s,-31.244395,,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,Transit Ephemeris,1,1,0.000000,1.888238,3.624000,,0.571696,0,08/19/2021 09:22,0.002813,,,,
HATS-71 b,01h02m12.45s,15.551889,-61d45m22.08s,-61.756133,,<a refstr=BAKOS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..267B/abstract target=ref>Bakos et al. 2020</a>,Transit Ephemeris,1,1,0.000000,3.795520,2.014800,,4.840275,0,08/18/2021 19:53,0.000648,,,,
HATS-72 b,22h36m06.20s,339.025840,-17d00m01.10s,-17.000305,,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,Transit Ephemeris,1,1,0.000000,7.327947,3.084700,,1.058947,0,08/24/2021 03:30,0.000373,,,,
HATS-8 b,19h39m46.01s,294.941689,-25d44m54.12s,-25.748365,,<a refstr=BAYLISS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...49B/abstract target=ref>Bayliss et al. 2015</a>,Transit Ephemeris,1,1,0.000000,3.583893,3.031200,,0.682401,0,08/19/2021 13:02,0.008940,,,,
HATS-9 b,19h23m14.44s,290.810170,-20d09m58.96s,-20.166377,,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>,Transit Ephemeris,0,1,0.000000,1.915311,3.508300,,0.581136,0,08/18/2021 21:47,0.001049,,,,
HD 332231 b,20h26m57.87s,306.741134,33d44m39.80s,33.744388,,<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..241D/abstract target=ref>Dalba et al. 2020</a>,Transit Ephemeris,1,1,0.000000,18.712040,6.156000,0.486700,0.486774,0,09/01/2021 22:47,0.017150,,,,
HD 17156 b,02h49m44.79s,42.436612,71d45m11.12s,71.753088,,<a refstr=NUTZMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726....3N/abstract target=ref> Nutzman et al. 2011 </a>,Transit Ephemeris,0,1,0.000000,21.216398,3.143500,,0.556796,0,08/19/2021 01:17,0.003491,,,,
HIP 65 A b,00h00m44.55s,0.185606,-54d49m50.96s,-54.830823,,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200305932N/abstract target=ref>Nielsen et al. 2020</a>,Transit Ephemeris,1,1,0.000000,0.980973,0.785800,8.200000,8.297474,0,08/18/2021 21:29,0.003647,,,,
HIP 67522 b,13h50m06.24s,207.526001,-40d50m09.23s,-40.835896,,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,Transit Ephemeris,1,1,0.000000,6.959503,4.822000,,0.447546,0,08/19/2021 14:58,0.002296,,,,
K2-107 b,18h59m56.49s,284.985355,-22d17m36.31s,-22.293421,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,Transit Ephemeris,0,1,0.000000,3.313909,3.223200,0.665800,0.697811,0,08/18/2021 19:26,0.005934,,,,
K2-113 b,01h17m47.85s,19.449382,06d52m07.85s,6.868847,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,Transit Ephemeris,0,1,0.000000,5.817649,3.074400,0.837800,0.798501,0,08/20/2021 00:24,0.009015,,,,
K2-124 b,08h54m33.85s,133.641052,23d07m58.62s,23.132951,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,Transit Ephemeris,0,1,0.000000,6.414008,1.677600,0.461400,0.459859,0,08/24/2021 16:04,0.000000,,,,
K2-139 b,19h16m16.01s,289.066707,-17d54m38.57s,-17.910715,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,Transit Ephemeris,0,1,0.000000,28.382460,4.987200,1.109300,0.932618,0,08/28/2021 00:03,0.015310,,,,
K2-14 b,11h52m13.65s,178.056875,02d35m38.84s,2.594122,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,Transit Ephemeris,0,1,0.000000,8.368817,2.520000,1.180000,1.185235,0,08/21/2021 02:59,0.000000,,,,
K2-140 b,12h32m32.96s,188.137317,-09d36m27.40s,-9.607612,,<a refstr=GILES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.1809G/abstract target=ref>Giles et al. 2018</a>,Transit Ephemeris,0,1,0.000000,6.569300,4.560000,,1.299765,0,08/20/2021 21:30,0.004951,,,,
KELT-21 b,20h19m12.01s,304.800032,32d34m51.76s,32.581045,,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,Transit Ephemeris,1,1,0.000000,3.612765,4.105400,0.990000,0.990033,0,08/19/2021 00:42,0.002374,,,,
KELT-24 b,10h47m38.17s,161.909027,71d39m20.62s,71.655727,,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,Transit Ephemeris,1,1,0.000000,5.551493,4.300100,0.753000,0.753347,0,08/18/2021 20:54,0.001680,,,,
KELT-4 A b,10h28m15.03s,157.062620,25d34m23.29s,25.573137,,<a refstr=EASTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151...45E/abstract target=ref>Eastman et al. 2016</a>,Transit Ephemeris,1,1,0.000000,2.989593,3.462700,1.187000,1.186289,0,08/19/2021 11:15,0.005556,,,,
KELT-9 b,20h31m26.38s,307.859900,39d56m20.10s,39.938916,,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,Transit Ephemeris,1,1,0.000000,1.481124,3.915800,0.677000,0.676853,0,08/19/2021 17:29,0.001886,,,,
K2-52 b,16h26m26.74s,246.611416,-24d58m11.81s,-24.969946,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,Transit Ephemeris,0,1,0.000000,3.535398,5.740000,0.615000,0.622891,0,08/18/2021 13:04,0.000000,,,,
K2-28 b,22h22m29.60s,335.623314,-07d57m22.87s,-7.956353,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,Transit Ephemeris,0,1,0.000000,2.260444,0.990000,0.642000,0.664098,0,08/19/2021 21:28,0.000000,,,,
K2-281 b,01h04m54.59s,16.227472,07d16m09.18s,7.269217,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,Transit Ephemeris,0,1,0.000000,8.687812,2.709600,1.238800,1.033869,0,08/26/2021 09:26,0.015231,,,,
K2-289 b,16h26m34.31s,246.642944,-15d47m33.14s,-15.792538,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,Transit Ephemeris,0,1,0.000000,13.156974,3.930000,0.778000,0.776398,0,08/23/2021 02:21,0.000000,,,,
K2-295 b,01h18m26.43s,19.610142,06d49m00.22s,6.816728,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.024888,2.510400,2.187800,1.737503,0,08/21/2021 14:34,0.003121,,,,
K2-308 b,05h13m21.39s,78.339119,16d24m51.11s,16.414199,,<a refstr=RAMPALLI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...62R/abstract target=ref>Rampalli et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.386280,3.090000,,0.536701,0,08/18/2021 18:02,0.010180,,,,
KOI-3680 b,19h33m07.57s,293.281527,45d18m34.77s,45.309657,,<a refstr=H_EACUTE_BRARD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.104H/abstract target=ref>H&eacute;brard et al. 2019</a>,Transit Ephemeris,1,1,0.000000,141.241671,6.736800,,1.123049,0,09/10/2021 04:42,0.002330,,,,
KPS-1 b,11h00m40.13s,165.167198,64d57m49.84s,64.963845,,<a refstr=BURDANOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130g4401B/abstract target=ref>Burdanov et al. 2018</a>,Transit Ephemeris,1,1,0.000000,1.706291,1.680000,,1.361855,0,08/18/2021 12:15,0.067755,,,,
K2-329 b,23h24m32.49s,351.135379,-05d09m50.92s,-5.164145,,<a refstr=SHA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201014436S/abstract target=ref>Sha et al. 2020</a>,Transit Ephemeris,1,1,0.000000,12.455122,3.621000,,0.936287,0,08/28/2021 02:22,0.000491,,,,
K2-34 b,08h30m18.89s,127.578723,22d14m09.31s,22.235919,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,Transit Ephemeris,0,1,0.000000,2.995653,1.951200,0.817500,0.817460,0,08/18/2021 12:01,0.000000,,,,
K2-232 b,04h55m04.03s,73.766793,18d39m15.56s,18.654323,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..127Y/abstract target=ref>Yu et al. 2018</a>,Transit Ephemeris,0,1,0.000000,11.168459,5.030200,0.776400,0.777528,0,08/29/2021 10:43,0.002473,,,,
K2-237 b,16h55m04.52s,253.768848,-28d42m38.10s,-28.710584,,<a refstr=SMITH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AcA....69..135S/abstract target=ref>Smith et al. 2019</a>,Transit Ephemeris,1,1,0.000000,2.180558,3.002400,,1.495061,0,08/20/2021 04:50,0.004685,,,,
K2-24 c,16h10m17.63s,242.573456,-24d59m26.17s,-24.990603,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,Transit Ephemeris,0,1,0.000000,42.363493,6.690000,0.440000,0.442975,1,08/30/2021 22:26,0.000000,,,,
K2-242 b,11h59m20.60s,179.835842,-06d31m04.28s,-6.517854,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,Transit Ephemeris,0,1,0.000000,6.513890,1.999200,0.624000,0.415138,0,08/22/2021 17:06,0.239920,,,,
K2-253 b,12h24m20.47s,186.085306,-06d22m44.23s,-6.378954,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,Transit Ephemeris,0,1,0.000000,4.001670,2.100000,1.259000,1.145598,0,08/22/2021 06:40,0.061880,,,,
K2-43 b,11h16m28.09s,169.117028,-03d58m31.59s,-3.975440,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,Transit Ephemeris,0,1,0.000000,3.471285,2.140000,0.638000,0.642037,0,08/21/2021 13:24,0.000000,,,,
KELT-10 b,18h58m11.61s,284.548382,-47d00m11.91s,-47.003307,,<a refstr=KUHN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.4281K/abstract target=ref>Kuhn et al. 2016</a>,Transit Ephemeris,1,1,0.000000,4.166274,3.744000,1.416000,1.414014,0,08/19/2021 03:54,0.003867,,,,
KELT-12 b,17h50m33.72s,267.640491,36d34m12.63s,36.570176,,<a refstr=STEVENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..178S/abstract target=ref>Stevens et al. 2017</a>,Transit Ephemeris,1,1,0.000000,5.031623,5.762400,0.596000,0.595682,0,08/22/2021 00:34,0.015934,,,,
KELT-14 b,07h13m12.34s,108.301409,-42d24m35.14s,-42.409762,,<a refstr=RODRIGUEZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..138R/abstract target=ref>Rodriguez et al. 2016</a>,Transit Ephemeris,0,1,0.000000,1.710059,2.133600,1.306000,1.303725,0,08/19/2021 06:43,0.003913,,,,
KELT-15 b,07h49m39.59s,117.414976,-52d07m13.61s,-52.120447,,<a refstr=RODRIGUEZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..138R/abstract target=ref>Rodriguez et al. 2016</a>,Transit Ephemeris,0,1,0.000000,3.329441,4.125600,1.003000,1.002521,0,08/19/2021 20:10,0.019416,,,,
KELT-16 b,20h57m04.45s,314.268523,31d39m39.67s,31.661019,,<a refstr=OBERST_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...97O/abstract target=ref>Oberst et al. 2017</a>,Transit Ephemeris,1,1,0.000000,0.968995,2.488800,1.146000,1.143157,0,08/19/2021 09:33,0.005636,,,,
KELT-17 b,08h22m28.18s,125.617407,13d44m07.11s,13.735309,,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,Transit Ephemeris,1,1,0.000000,3.080172,3.475200,0.907000,0.907567,0,08/20/2021 10:42,0.004151,,,,
KELT-19 A b,07h26m02.29s,111.509529,07d36m56.79s,7.615776,,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>,Transit Ephemeris,1,1,0.000000,4.611709,4.394400,1.148000,1.150364,1,08/22/2021 06:04,0.004497,,,,
KELT-20 b,19h38m38.74s,294.661413,31d13m09.12s,31.219200,,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,Transit Ephemeris,1,1,0.000000,3.474108,3.575500,1.309000,1.306892,0,08/18/2021 15:31,0.001252,,,,
